188	72	73
204	100	99
187	87	84
200	90	87
217	106	102
210	97	87
217	103	93
204	91	89
211	88	82
211	88	82
225	104	100
204	82	75
221	99	90
213	86	44
207	84	53
203	86	78
218	96	88
201	88	78
226	105	74
212	100	97
198	84	80
204	85	83
199	95	91
205	108	105
193	102	98
215	140	136
226	148	144
230	161	154
199	95	89
199	87	86
212	95	92
212	95	92
208	90	82
221	107	104
200	80	78
207	92	95
216	113	111
206	85	84
207	92	86
214	93	82
220	101	91
218	103	86
215	96	87
225	109	107
213	95	75
212	97	64
208	94	92
193	81	81
190	93	92
203	88	82
208	99	84
219	99	96
223	105	91
164	78	87
162	80	90
154	72	77
180	106	109
185	111	115
184	110	113
174	93	107
180	102	109
184	104	113
182	102	111
182	102	110
167	81	88
171	82	90
163	74	85
169	82	89
166	84	89
150	68	83
163	74	85
154	80	84
156	75	80
156	72	80
167	83	92
172	90	98
178	96	94
174	87	95
165	79	87
189	106	107
185	99	104
177	89	100
187	99	106
152	77	87
164	80	87
165	81	93
157	73	81
172	92	97
176	97	106
151	68	78
185	111	115
184	108	115
176	98	101
194	115	125
163	81	91
153	68	81
167	84	94
157	73	81
158	73	87
171	89	95
171	89	95
188	113	116
181	103	108
156	72	80
162	74	89
159	73	85
141	57	70
143	63	72
137	55	63
152	68	75
145	66	71
141	61	72
152	71	75
161	80	85
139	56	64
137	53	67
145	61	74
138	56	66
146	66	77
150	69	79
152	72	77
151	74	81
159	81	88
184	99	107
185	104	110
187	108	115
171	94	103
169	90	96
173	93	99
180	95	103
176	93	99
184	96	104
176	93	97
168	90	92
168	86	90
174	87	95
171	88	91
165	83	88
152	72	77
166	86	88
150	72	81
155	74	83
155	67	79
155	71	77
190	92	102
152	68	85
182	108	112
144	63	71
159	83	89
162	87	90
166	87	94
166	82	86
153	84	87
169	98	108
160	76	77
234	96	47
245	105	60
255	136	112
255	126	104
255	129	109
255	133	111
251	120	92
244	124	101
223	94	56
244	118	105
244	133	118
236	125	116
254	154	150
242	142	135
255	150	139
241	149	144
232	139	135
239	147	141
217	127	118
243	129	123
141	53	49
74	23	21
68	21	19
72	23	23
67	20	22
63	16	18
57	8	9
203	70	56
203	70	56
66	19	21
70	26	23
75	28	23
248	120	96
255	132	102
251	129	102
