148	47	58
147	40	49
165	66	67
160	61	69
156	52	62
166	73	80
176	86	90
165	74	80
175	84	85
150	61	68
160	65	72
152	52	58
152	50	56
153	49	59
148	59	66
159	51	61
169	61	71
148	43	50
150	47	59
141	38	51
225	81	78
207	83	80
227	88	86
221	114	107
223	118	112
196	95	88
188	90	84
199	73	71
205	68	67
229	81	77
216	59	53
201	46	49
194	41	48
188	42	45
203	56	52
190	83	78
223	113	106
237	130	116
205	98	95
218	100	94
201	90	86
196	98	95
199	93	87
232	127	116
215	110	109
208	109	98
190	88	84
220	102	97
214	72	63
209	53	49
208	49	51
229	82	80
161	36	69
177	59	91
163	43	80
157	32	66
145	15	52
151	19	57
159	35	55
155	13	55
150	4	52
153	23	60
132	0	46
147	10	48
170	40	73
190	64	95
168	46	75
163	38	69
153	20	52
163	30	61
161	27	56
154	16	48
153	14	45
156	18	47
151	6	35
159	21	39
161	27	60
160	25	52
156	21	39
157	20	49
154	21	50
157	25	53
173	40	66
161	31	60
193	64	98
189	69	104
144	13	50
172	45	79
181	52	87
188	72	106
172	59	83
160	52	80
157	39	71
142	2	49
142	2	50
120	0	31
147	37	74
179	105	130
166	66	89
182	80	104
172	74	102
165	74	97
159	62	90
169	65	93
162	62	83
128	0	40
131	13	56
176	85	114
175	75	105
163	64	95
161	69	97
154	59	94
145	56	83
156	36	77
140	25	63
169	78	104
154	26	57
150	15	48
152	27	51
168	38	62
152	20	55
159	32	56
153	29	50
167	49	79
167	48	74
161	46	77
163	56	83
179	81	101
172	74	93
101	20	42
112	23	48
93	15	36
100	16	42
102	18	40
105	24	45
104	23	45
107	23	47
98	22	39
105	29	45
102	26	44
100	26	43
105	31	47
101	26	47
104	29	49
95	20	42
128	49	66
108	33	53
103	26	48
103	26	48
105	28	49
102	23	43
106	25	46
116	32	52
120	34	55
107	23	47
107	23	47
106	22	45
105	24	45
106	23	46
105	24	46
105	29	48
101	25	42
103	29	46
99	24	45
102	27	48
98	23	44
109	31	50
99	27	44
99	27	44
102	26	43
93	20	38
102	23	42
107	23	47
102	23	43
116	31	55
97	19	43
102	27	49
99	22	44
111	33	51
103	26	48
112	36	55
104	43	58
111	43	61
119	52	70
113	46	65
100	32	50
112	49	66
105	35	55
105	35	53
99	38	54
107	46	61
109	46	61
101	40	55
104	43	58
109	48	62
101	38	56
96	34	50
112	43	63
100	42	62
101	48	64
97	41	56
105	44	59
98	36	52
96	34	52
102	41	58
116	50	68
117	48	68
119	53	71
119	53	71
112	45	64
107	40	58
121	47	66
114	41	68
99	27	47
110	32	53
98	23	44
95	24	48
92	15	45
99	32	53
110	40	58
96	26	46
97	27	46
98	25	46
106	34	53
95	21	47
95	20	42
97	16	42
99	27	47
98	25	45
102	34	51
96	26	46
92	23	43
105	37	54
98	30	47
99	30	50
96	27	48
103	31	52
106	34	53
92	22	49
99	27	47
98	25	45
100	27	54
131	38	54
124	31	50
140	43	60
138	46	61
129	38	53
117	23	44
130	37	53
136	46	54
127	36	51
124	34	54
126	32	46
129	36	52
129	40	52
123	36	52
127	41	50
122	37	49
116	25	44
130	39	54
135	44	60
136	50	64
126	39	58
128	43	59
121	34	52
133	40	57
120	23	43
127	34	50
120	27	44
111	17	40
129	38	53
129	38	53
136	34	52
131	33	54
128	32	50
142	43	61
123	30	48
117	26	42
121	31	47
117	26	45
125	34	49
120	30	48
121	28	48
123	32	46
120	35	48
123	35	49
127	38	49
132	38	51
123	26	40
120	25	36
123	26	42
111	29	43
121	33	48
132	40	53
123	32	46
131	40	55
136	44	57
131	38	54
125	35	52
121	34	51
116	31	46
128	48	62
120	30	45
124	31	50
112	20	38
127	41	54
135	46	60
133	43	55
127	36	51
111	36	57
104	32	51
104	32	51
104	32	51
104	32	51
101	31	50
108	36	57
